Lake_Name,Collected_By,Sampling year,General_Location,Latitude,Longitude,Lake_volume_m3,Lake_volume_estimate,pH,Secchi_depth,Total_phosphorus,Area_ha,pLittoral,Shoreline_km,Perimeter_km,Depth_Max,Depth_Mn,DD5_8110,Sampling month,month_air_temp_max,month_air_temp,Summer_air_temp_max,Summer_Air_Temp,SDI,Pelagic_FF,Dev_Index,pLittoral_4m,Notes,Weather station
Carling,Tyler/MNR,2009,BSM,50.62222,-91.28,131741085.2,13689.41191,7.19,,16.3,1555.61499,0.3201330108,113.1898,91.32811741,40.9,8.8,1524,Aug,20.3,,19.826667,13.44761341,8.09564537,Y,6.5320352,0.2871,,
Catfish,Rebecca,2007,Algonquin,45.91667,-78.55,,3543.63,,3.26,,528.9,,,46.2,22.7,6.7,,July,,16.543783,,16.48351,,Y ,5.1488434,0.34465,,
Cecil,Tyler/MNR,2009,BSM,49.53944,-91.3914,186554523.7,19353.49224,7.53,,6.6,1560.765503,0.1829363,23.80679,23.80679375,24.4,12.4,1569,June,20,14.577559,20.516667,13.96841558,1.69991478,Y,1.6999148,0.1669,,
Charleston,Tyler/MNR,2008,BSM,44.53611,-76.0119,446149063.6,45977.77529,7.92,4,12.1,2642.400879,0.2101544204,179.0405,94.0585674,91.5,17.4,2214,July,25.8,20.717669,24.973333,17.81111101,9.82532904,Y,5.1617156,0.1919,,
Cirrus,Tyler/MNR,2010,BSM,48.5925,-91.9875,471193568.2,48304.7604,6.8,2.5,5.2,2215.814697,0.1557891432,128.6134,116.5439059,88.6,21.8,1607,June,21,14.881718,23.966667,17.43004243,7.70751802,Y,6.9842201,0.1374,,
Cliff,Tyler/MNR,2009,BSM,50.17083,-93.3008,195458858.5,20574.08398,7.54,3.75,9.7,2236.313477,0.3577067392,111.3516,99.87063296,34.1,9.2,1649,June,19.6,14.424163,20.28,14.24005533,6.64240546,Y,5.957534,0.345,,
Confusion,Tyler/MNR,2009,BSM,50.67,-94.1511,166887343.5,16970.63433,7.1,3.75,5.2,1462.985718,0.3509291,83.64725,71.40073747,42.7,11.6,1600,June,19.5,14.254065,20.14,14.45513996,6.16916952,Y,5.265962,0.3052,,
Conifer,Tyler/MNR,2009,BSM,50.55917,-94.0308,285212232.4,28789.63654,7.2,3,4.7,1137.930298,0.173062753,30.92378,30.41967171,65.8,25.3,1614,July,20.3,15.345878,20.14,14.44077386,2.58600805,Y,2.5438515,0.1495,,
Cross,Tyler/MNR,2010,BSM,49.96389,-94.2339,8436973.207,897.9450417,6.8,4.5,6,108.1861496,0.2643336528,10.0422,9.585837195,26.2,8.3,1745,July,24.8,19.989252,22.783333,16.94667937,2.72356854,Y,2.5997961,0.2387,,
Crystal,Tyler/MNR,2010,BSM,48.70944,-91.2828,96297320.38,9919.61347,7.04,7.7,4.3,623.875061,0.202184244,20.84333,18.8684554,47,15.9,1557,June,20.4,14.574183,23.446667,17.26430188,2.35403773,Y,2.1309959,0.1786,,
Delaney,Tyler/MNR,2009,BSM,50.09306,-94.0483,267295140.6,29141.21938,7.06,5.38,7.1,1278.123657,0.2536758794,38.94885,29.12524023,81.4,22.8,1707,July,20.9,19.787134,20.73,14.6026292,3.07328771,Y,2.2981488,0.2367,,
Des_Chasseurs,Tyler/MNR,2009,Quebec,48.2203,-67.8699,,,7.2,5.4,,241.6,,,11.31,33,,,,,,,16.533,,,2.053,,not 100% positive of year sampled,AMQUI QUEBEC Weather StationID 26887
Dogpaw,Tyler/MNR,2010,BSM,49.37472,-93.9058,193266649.5,20259.44242,7.53,3.86,7,1966.936157,0.2476806024,85.70835,51.91118411,24.4,10.3,1726,June,20.7,15.660122,23.593333,17.3180285,5.4515884,Y,3.3018769,0.2247,,
Dryberry,Tyler/MNR,2010,BSM,49.52917,-93.8367,2221768530,226272.7276,6.89,7.5,4.5,10238.58496,0.226957438,421.9778,322.6103018,105.5,22.1,1726,July,25.3,20.039597,23.37,17.17241958,11.7642636,Y,8.9940093,0.2113,,
Eva,Tyler/MNR,2010,BSM,48.71333,-91.1781,220212888.9,22785.53804,7.66,5,20.8,1726.177124,0.389715622,72.24936,66.17590011,54.9,13.2,1542,June,20.3,14.499644,23.4,17.25029187,4.9055352,Y,4.4931638,0.3695,,
Factor,Tyler/MNR,2010,BSM,48.70056,-92.0647,89693390.53,9280.330109,7.12,5.1,7.2,640.0227661,0.297957678,34.24544,31.07704536,49.4,14.5,1614,July,25.5,19.254669,23.736667,17.35218758,3.81856447,Y,3.46527,0.282,,
Gilmour,Rebecca,2007,Algonquin,46.06667,-78.4833,,1105.5,,4.7,,165,,,5.5,24.4,6.7,,July,,17.540455,,17.240321,,Y,1.2078577,,,
Hogan,Rebecca,2007,Algonquin,45.86667,-78.5,,9497.9,,3.2,,1283.5,,,48.8,38.2,7.4,,June,,16.257923,,16.44462,,Y,3.8133736,0.2572099,,
Kaiashkons,Tyler/MNR,2010,BSM,49.05528,-93.3967,501964385.1,49617.89526,7.12,6.65,5.1,2025.220215,0.1994601638,55.73555,44.4684487,58,24.5,1684,July,25.7,19.776743,23.85,17.40991649,3.49374518,Y,2.7874746,0.1811,,
Kakagi,Tyler/MNR,2010,BSM,49.21472,-93.8372,2234758435,227870.4205,7.87,8.6,5.4,11061.6709,0.1122417178,459.4287,219.6900749,58,20.6,1712,July,25.7,19.96538,23.776667,17.42435472,12.322614,Y,5.8924396,0.0976,,
Katimiagamak,Tyler/MNR,2010,BSM,49.12222,-93.7144,246914887,24921.39496,7.32,5.3,5.3,1078.848267,0.2231312936,66.14899,37.5336007,76.3,23.1,1700,Aug,24.8,19.042955,23.74,17.45894555,5.68117389,Y,3.2235552,0.2026,,
Kay,Tyler/MNR,2010,BSM,49.23694,-91.4733,22532474.78,2391.92226,6.64,2.3,6.4,346.6554,0.564426,30.75837,29.83259,29.9,6.9,1575,June,20.29,14.754391,23.15,16.85710805,4.66025212,Y,4.5199862,0.5284,,
La_Haie,Tyler/MNR,2009,Quebec,48.47315,-78.7006,,,6.15,2.6,,39,,,6.12,39,,,,,,,16.133,,,2.765,,not 100% positive of year sampled,ROUYN QUEBEC Weather StationID 10849
Lake_of_Bays,Tyler/MNR,2008,BSM,45.25583,-79.0025,1496650980,150145.5592,6.53,4.3,4.5,6763.313477,0.1528163,196.4869,165.6362395,70.1,22.2,1701,Aug,23.7,17.292437,23.73,17.59594839,6.73982921,Y,5.6816002,0.1329,,
Longlegged,Tyler/MNR,2009,BSM,50.78389,-94.1742,570468011.7,60166.62046,7.18,3,10.6,6760.294434,0.391033699,293.9472,218.0909718,35.4,8.9,1580,June,19.4,14.227177,20.093333,14.42642582,10.0851318,Y,7.4825556,0.3545,,
Lower_Manitou,Tyler/MNR,2010,BSM,49.26472,-92.9683,1731912016,176546.1537,7.09,6.2,5.7,8871.666016,0.1728508834,473.7429,324.7574912,81,19.9,1672,Aug,24.5,18.84547,23.51,17.10700302,14.1884588,Y,9.7263894,0.1531,,
Marie_Lefranc,Tyler/MNR,2009,Quebec,46.13616,-74.9955,,,,,,668,,,24.62,,,,,,,,17.6,,,2.687,,not 100% positive of year sampled,Arundel Quebec
Marin,Tyler/MNR,2009,Quebec,46.53646,-78.8214,,,6.43,4.5,,401,,,16.25,,,,,,,,17.233,,,2.289,,not 100% positive of year sampled,BARRAGE TEMISCAMINGUE QUEBEC Weather StationID 5977
Memewin,Tyler/MNR,2009,Quebec,46.46868,-78.6956,,,6.43,3.5,,939,,,43.61,29.87,,,,,,,17.233,,,4.103,,not 100% positive of year sampled,BARRAGE TEMISCAMINGUE QUEBEC Weather StationID 5977
Mold,Tyler/MNR,2009,BSM,50.09917,-92.6061,3289848.702,350.3754108,6.55,2.58,8.5,47.99663162,0.3322104592,4.248239,4.248239044,17,7.3,1638,Aug,20.8,16.299974,20.266667,13.94516727,1.72981092,Y,1.7298109,0.304,,
Pickerel,Tyler/MNR,2010,BSM,48.62472,-91.4444,934149412.8,94796.49844,7.14,3.3,9.2,5355.734375,0.2393315554,294.8793,178.0125715,74.7,17.7,1572,June,20.6,14.501735,23.616667,17.34965207,11.36658,Y,6.8617711,0.2081,,
Pipestone,Tyler/MNR,2010,BSM,49.09111,-93.5542,668144010.5,68048.2674,7.23,4.31,7.3,3658.509,0.214049,241.8153,160.9323,53.4,18.6,1692,Aug,24.9,19.000299,23.863333,17.43219183,11.277862,Y,7.5056151,0.1892,,
Richardson,Tyler/MNR,2009,BSM,50.16806,-92.0619,22231480.35,2317.72611,7.45,4.9,11.6,194.7669,0.239071,10.02782,9.064972,22.9,11.9,1626,July,20.4,15.63331,20.41,13.76302965,2.02695416,Y,1.8323313,0.2223,,
Rosseau,Tyler/MNR,2011,BSM,45.17389,-79.585,1503131635,151766.5963,6.9,5.3,5.4,6297.369141,0.153,223.1284,143.5825572,89,24.1,1766,July,,,,20.36226367,7.93177321,Y,5.1040765,0.1362,,
Round,Tyler/MNR,2008,BSM,45.6425,-77.5278,364259682.7,37120.875,7.09,3.8,8.6,2969.67,0.321,34.44229,30.11746,54.9,12.5,1840,June,23.9,17.667339,24.63,17.17658978,1.78292487,Y,1.5590477,0.303,,
Sault,Tyler/MNR,2009,Quebec,48.50766,-78.6854,,,4.5,4.5,,34,5.26,,,38,,,,,,,,,,,,,
Sekulmun,Tyler/MNR,2009,Northern,61.4382,-137.5606,,138096,,,,4932,,,65.511,53,28,,,,,,12.2,,,2.661,,**lacking info - obtained area and perimeter from QGIS - not 100% positive of year sampled - update: found area in a paper - GIS area =4822.836,HAINES JUNCTION YUKON TERRITORY Weather StationID 1556
Silver,Tyler/MNR,2010,BSM,49.87639,-94.1783,997142719.2,100528.077,7.01,5.43,3.2,2577.643,0.075007,50.97253,44.66757,91.5,39,1755,July,25.2,20.075994,23.156667,17.0001078,2.83217333,Y,2.4818529,0.0652,,
Stormy,Tyler/MNR,2010,BSM,49.38972,-92.3075,415722919.3,43249.49385,7.56,4.5,5.6,3432.499512,0.210594894,120.0088,97.35088843,36.6,12.6,1643,July,25.2,19.671316,23.416667,16.83638622,5.77833984,Y,4.6873755,0.1654,,
Tadpole,Tyler/MNR,2010,BSM,49.465,-93.2972,47541010.94,5009.34082,6.6,4.5,5.5,521.8063354,0.3359455684,36.77052,27.02976566,36,9.6,1692,June,20.4,14.860691,23.2,17.05336052,4.54088177,Y,3.3379719,0.3046,,
Three_Mile,Rebecca,2007,Algonquin,45.98333,-78.9,,4689.5,,3.8,,415,,,17.5,41.3,11.3,,June,,,,16.23,,Y,2.442813154,0.217817,,Whitney ON
Upper_Manitou,Tyler/MNR,2010,BSM,49.40694,-92.7953,886486124.1,91339.44941,7.26,5.5,7.1,5310.433105,0.1687696248,253.2164,143.8057655,56,17.2,1667,Aug,24.4,18.826986,23.403333,16.94028796,9.80216307,Y,5.56681,0.1491,,
Upper_Medicine_Stone,Tyler/MNR,2009,BSM,50.89556,-94.0594,164603295.5,16896.83944,6.94,2.35,4.2,1076.231812,0.2152370304,45.14108,43.30127114,41.2,15.7,1555,Aug,20.4,16.585314,19.85,14.3414804,3.88162985,Y,3.7234266,0.1913,,
Victoria,Tyler/MNR,2009,BSM,49.62306,-91.5489,77537114.43,8243.47453,7.23,3.3,12.6,926.2330933,0.403481734,34.94324,33.50982394,28.1,8.9,1589,June,20.1,14.705609,20.6,13.94883707,3.23890375,Y,3.1060402,0.3676,,
Wabaskang,Tyler/MNR,2009,BSM,50.39194,-93.1686,443874032.2,46741.6188,7.61,3.8,19.3,6150.213,0.36862,198.3958,170.6511,28.7,7.6,1606,July,20,19.086792,19.953333,14.11775769,7.1364544,Y,6.1384564,0.307,,
Wapageisi,Tyler/MNR,2010,BSM,49.32222,-92.3506,138655809.4,14485.43361,7.41,5,6.2,1304.994019,0.373418636,62.20644,37.40176106,48.8,11.1,1643,July,25.2,19.651588,23.363333,16.89458655,4.85764932,Y,2.9206725,0.3472,,
White_Partridge,Rebecca,2007,Algonquin,45.83333,-78.1,,9934.8,,4.84,,584.4,,,14.2,49,17,,July,,,,16.23,,Y,1.6713838,0.1720378,,Whitney ON
