"Lake Name","Sampling Year","Latitude","Longitude","Lake Area (ha)","Secchi Depth (m)","Summer Air Temperature (C)","Lake Trout CUE","Total Predator CUE","pLittoral","Total Phosphorus (ugL)","pH","Development Index"
"Longlegged",2009,50.78389,-94.1742,6760.294434,3,14.9576086956522,0.257,6.341,0.391033699,10.6,7.18,7.4825556
"Lower_Manitou",2010,49.26472,-92.9683,8871.666016,6.2,18.5271739130435,0.573,1.109,0.1728508834,5.7,7.09,9.7263894
"Mameigwess-1",2016,49.55,-91.82,5309.7,7.6,17.6695652173913,NA,NA,NA,NA,NA,NA
"Midlothian",2008,47.91,-81,367.3,4.6,16.2934782608696,NA,NA,NA,NA,NA,NA
"Muskoka",2008,45.05361,-79.475,8900,NA,18.5815217391304,NA,NA,NA,NA,NA,NA
"Panache",2006,46.25,-81.33,8006.1,6.9,19.1489130434783,NA,NA,NA,NA,NA,NA
"Pickerel",2010,48.62472,-91.4444,5355.734375,3.3,18.3141304347826,0.529,2.441,0.2393315554,9.2,7.14,6.8617711
"Radisson",2014,48.21,-80.76,543.5,4.5,16.420652173913,NA,NA,NA,NA,NA,NA
"Raven",2009,48.05,-79.55,616.7,2.9,15.9173913043478,NA,NA,NA,NA,NA,NA
"Rib",2014,47.22,-79.72,682,5.4,16.4347826086957,NA,NA,NA,NA,NA,NA
"Rosseau",2011,45.17389,-79.585,6297.369141,5.3,19.8891304347826,0.516,1.213,0.153,5.4,6.9,5.1040765
"Shillington",2011,47.77,-80.65,136,3.1,18.3728260869565,NA,NA,NA,NA,NA,NA
"Silver",2010,49.87639,-94.1783,2577.643,5.43,18.1565217391304,0.125,0.462,0.075007,3.2,7.01,2.4818529
"Stormy",2010,49.38972,-92.3075,3432.499512,4.5,18.2684782608696,0.77,0.7,0.210594894,5.6,7.56,4.6873755
"Sturgeon",2016,49.97,-90.77,21412.7,4,16.8391304347826,NA,NA,NA,NA,NA,NA
"Tadpole",2010,49.465,-93.2972,521.8063354,4.5,18.3010869565217,0.801,0.86,0.3359455684,5.5,6.6,3.3379719
"Temagami",2014,47.01,-80.08,20971.7,10.7,16.5271739130435,NA,NA,NA,NA,NA,NA
"Thieving Bear",2010,47.18,-79.83,114.8,4.6,18.5815217391304,NA,NA,NA,NA,NA,NA
"Three_Mile",2007,45.98333,-78.9,415,3.8,17.8804347826087,NA,NA,NA,NA,NA,2.442813154
"Upper_Manitou",2010,49.40694,-92.7953,5310.433105,5.5,18.3782608695652,0.488,2.432,0.1687696248,7.1,7.26,5.56681
"Upper_Medicine_Stone",2009,50.89556,-94.0594,1076.231812,2.35,14.8521739130435,0.213,2.303,0.2152370304,4.2,6.94,3.7234266
"Victoria",2009,49.62306,-91.5489,926.2330933,3.3,15.0760869565217,2.384,0.658,0.403481734,12.6,7.23,3.1060402
"Wapageisi",2010,49.32222,-92.3506,1304.994019,5,18.2586956521739,0.63,0.264,0.373418636,6.2,7.41,2.9206725
"White_Partridge",2007,45.83333,-78.1,584.4,4.84,18.2663043478261,NA,NA,NA,NA,NA,1.6713838
